,brief,header,pub_time,url
27,趣头条在路演PPT中还特别提及和澎湃新闻的合作，将建立深度合作机制、打通内部沟通渠道，在内容、品牌、流量、数据、技术、内控等方面战略合作。,趣头条路演PPT曝光：强调与澎湃合作，小米持股近1%,14:54,http://www.tmtpost.com/nictation/3460102.html
28,9月6日下午消息，近日有媒体报道称，滴滴2018年上半年亏损40.4亿元，滴滴方面对此向新浪科技表示不予置评。,传滴滴上半年亏损超40亿，官方不予置评,14:51,http://www.tmtpost.com/nictation/3460096.html
29,9月6日下午消息，根据国家企业信用信息公示系统资最新工商资料显示，娃哈哈于8月27日成立了浙江德清娃哈哈科技创新中心有限公司，注册资本为5000万元，宗庆后担任法人代表。,娃哈哈成立科技创新中心，经营范围包括新能源汽车,14:26,http://www.tmtpost.com/nictation/3460062.html
30,9月5日起，闲鱼图书回收接入蚂蚁森林。,闲鱼图书回收接入蚂蚁森林,14:23,http://www.tmtpost.com/nictation/3460058.html
31,近日，百度视频宣布完成1亿美金B轮融资，将进一步加大投入内容自制、内容投资、以及人工智能等前沿技术的研发。,百度视频完成1亿美金融资，推出DuerOS定制版,14:10,http://www.tmtpost.com/nictation/3460031.html
32,明尼苏达州亨内平郡检察官办公室发言人拉扎斯基9月5日表示，中国京东商城创始人兼首席执行官刘强东涉嫌强暴案是否控罪，最快将在本周内决定。,美国检察官：是否指控刘强东最快将在本周内决定,13:33,http://www.tmtpost.com/nictation/3459981.html
33,预计将于9月15日前后正式启动，并于9月之内完成最严格实名策略对于《王者荣耀》全部新用户的校验。,腾讯：《王者荣耀》将接入公安数据平台，校验用户是否未成年,12:56,http://www.tmtpost.com/nictation/3459936.html
34,9月6日，腾讯优图联合国际顶级期刊《科学》（Science）杂志共同举办了一场计算机视觉峰会。,腾讯汤道生：计算机视觉发展或将开启AI“寒武纪”,12:15,http://www.tmtpost.com/nictation/3459883.html
35,然而，根据一封由该公司首席执行官David Taylor向股东发送的电子邮件来看，Theranos最终将会被关闭。,600亿美元血检骗局终落幕，Theranos宣布正式倒闭,11:57,http://www.tmtpost.com/nictation/3459826.html
36,9月6日，菜鸟宣布打造了全球首个全品类“绿仓”，首次实现物流业循环箱全流程覆盖。,菜鸟发布2018回箱计划，并实现物流业循环箱全流程覆盖,11:54,http://www.tmtpost.com/nictation/3459821.html
37,腾讯高级副总裁汤道生表示：将优图实验室正式升级为腾讯计算机视觉研发中心，持续加码计算机视觉技术的研发投入，不设KPI。,腾讯与《科学》杂志合作，共享计算机视觉领域资源,11:45,http://www.tmtpost.com/nictation/3459806.html
38,华尔街日报9月5日的报道披露了刘强东被美国警方逮捕前后数日的细节，涉嫌强奸发生在饭局之后。,刘强东涉案细节：日料晚宴大喝红酒，案发饭局后,11:36,http://www.tmtpost.com/nictation/3459781.html
39,9月6日，生鲜电商每日优鲜宣布完成新一轮4.5亿美元融资。,每日优鲜完成新一轮4.5亿美元融资，高盛、腾讯等领投,11:27,http://www.tmtpost.com/nictation/3459752.html
40,甲骨文向美国财经媒体CNBC透露，公司负责产品开发的总裁托马斯·库里安（Thomas Kurian）不久将离开公司，具体离职时间待定。,甲骨文产品开发总裁将离职，曾为公司“二号人物”,11:12,http://www.tmtpost.com/nictation/3459731.html
41,微软和华为正在讨论，微软中国数据中心采用华为人工智能（AI）芯片技术的可能性。,华为与微软正尝试在人工智能芯片领域达成合作,11:09,http://www.tmtpost.com/nictation/3459690.html
42,9月6日上午消息，Facebook本周四表示，公司准备投资10多亿美元在新加坡建设数据中心，这是Facebook在亚洲建立的第一个数据中心。,Facebook首次准备在亚洲建数据中心，位于新加坡,10:51,http://www.tmtpost.com/nictation/3459686.html
43,SuperData拥有着1600万游戏玩家的行为调研数据。双方都未透露收购金额。,尼尔森收购SuperData，填补电子游戏数据上空白,10:35,http://www.tmtpost.com/nictation/3459660.html
44,本周三，美国参议院情报委员会（Senate Intelligence Committee）召开听证会，原本谷歌应该派人参加，但谷歌并没有派人。,谷歌拒派最高领导参加听证会，美参议院：深感失望,10:23,http://www.tmtpost.com/nictation/3459642.html
45,9月6日消息，新药研发企业上海诚益生物科技有限公司近日宣布完成亿元人民币A轮融资，由国药资本领投，幂方资本、泰福资本跟投。,新药研发企业诚益生物完成亿元人民币A轮融资，由国药资本领投,10:11,http://www.tmtpost.com/nictation/3459623.html
46,荣耀总裁赵明在接受采访时表示，荣耀是否入局电视业务仍在考虑之中。,荣耀赵明：在考虑是否入局电视，5G手机仍是营销概念,09:49,http://www.tmtpost.com/nictation/3459581.html
47,9月6日早间消息，喜马拉雅FM今日向新浪科技表示，近期网传的喜马拉雅FM融资文件数据大多不准确，公司近期没有上市计划。,喜马拉雅：网传融资资料数据大多不准确，无IPO计划,09:46,http://www.tmtpost.com/nictation/3459575.html
48,9月6日上午消息，据外媒报道，在进入英国曼彻斯特一年多之后，摩拜单车决定退出该城市，主要因为单车遭遇严重的损毁和盗窃。,摩拜退出曼彻斯特，因单车损毁盗窃太严重,09:42,http://www.tmtpost.com/nictation/3459566.html
49,钛媒体讯，9月6日消息，二手回收平台回收宝近日宣布完成C1轮战略融资，本轮投资方为阿里巴巴集团，融资额和估值暂未透露。,回收宝完成C1轮融资，投资方为阿里巴巴集团,09:21,http://www.tmtpost.com/nictation/3459518.html
50,宝马集团将携手汉莎货运航空公司与9月9日开启BMW Vision iNEXT环球之旅。,BMW Vision iNEXT 环球之旅将于9月9日开启,09:18,http://www.tmtpost.com/nictation/3459511.html
51,北京时间7:30过后，比特币快速跳水，迅速连续失守6800、6700、6600、6500、6400、6300美元六大关口，24小时跌超14%。,比特币跌破6300美元，24小时内暴跌14%,09:13,http://www.tmtpost.com/nictation/3459503.html
52,其中推出的一项安全功能名为“Ride Check”，可以利用智能手机内的GPS、加速计、陀螺仪和其他传感器来探测是否发生车祸。,Uber推出新安全功能，包括自动探测车祸和隐藏号码,09:06,http://www.tmtpost.com/nictation/3459490.html
53,美国两党议员都怀疑，两家社交媒体巨头能否在今年的中期选举之前彻底清理相关问题。,FB和Twitter高管出席国会听证，回应假信息等问题,08:55,http://www.tmtpost.com/nictation/3459476.html
54,9月6日消息，港媒称，金融服务机构华兴资本今日（9月6日）进行香港IPO聆讯，预计将于9月21日完成定价，9月28日正式在港交所上市，募资金额不超过31.4亿港元。,消息称华兴资本今日聆讯9月28日挂牌，估值26-34亿美元,08:51,http://www.tmtpost.com/nictation/3459470.html
55,今日，瑞幸咖啡将与腾讯签署战略合作协议。两者4月时就曾合作在深圳的腾讯总部大楼开设主题快闪店。,瑞幸咖啡将与腾讯签署战略合作协议,08:42,http://www.tmtpost.com/nictation/3459460.html
56,虽然交付的汽车不足2000辆，蔚来汽车却希望估值能达到64亿-85亿美元。,蔚来汽车寻求85亿美元估值，要投资者为潜力买单,08:37,http://www.tmtpost.com/nictation/3459451.html
57,9月6日消息，据CNBC报道，皮尤研究中心(Pew)的一项调查显示，Facebook这一年来遭遇的丑闻正促使年轻用户远离该平台。,皮尤报告：美国年轻用户正在远离Facebook平台,08:27,http://www.tmtpost.com/nictation/3459438.html
58,9月6日消息，从外媒报道获悉，SpaceX将在当地时间周六晚从佛罗里达州卡纳维拉尔角发射另外一颗商用卫星。,SpaceX将在本周六晚发射一颗商用卫星，原定于7月进行,08:20,http://www.tmtpost.com/nictation/3459427.html
59,9月6日消息，美银美林将AMD目标价从25美元大幅上调至35美元，较周二收盘涨幅空间25%，创华尔街最高目标价。,芯片巨头AMD获多家投行青睐，美银美林给出最高目标价,08:04,http://www.tmtpost.com/nictation/3459406.html
60,王兴是一个深度学习的机器，因为互联网要求不一样，要求你要迅速捕捉机会，还要执行力特别强，而王兴的学习能力和学习速度是非常快的。,今日资本徐新谈王兴：他是一台 “深度学习的机器”,08:01,http://www.tmtpost.com/nictation/3459401.html
61,9月6日消息，电商服务企业D1M（第一秒电商科技）近日宣布完成亿元A轮融资，本轮融资的战略投资方为K11创始人郑志刚。,第一秒电商科技完成亿元A轮融资,07:53,http://www.tmtpost.com/nictation/3459388.html
62,9月6日消息，知情人士称，中国社交电商平台云集微店已经聘请投行，计划在明年初赴美首次公开招股(IPO)。,电商平台云集微店拟明年初赴美IPO，最高估值100亿美元,07:47,http://www.tmtpost.com/nictation/3459381.html
63,北京时间9月6日凌晨，据路透社报道，Uber首席执行官Dara Khosrowshahi周三表示，Uber计划在明年进行IPO，并且没有出售其自动驾驶汽车研发部门的计划。,Uber CEO：计划2019年进行IPO，没有出售技术部门计划,07:39,http://www.tmtpost.com/nictation/3459372.html
64,乐视网发布公告称，9月6日上午开市起停牌。,连续5个涨停后，乐视网停牌核查,07:37,http://www.tmtpost.com/nictation/3459369.html
65,9月5日晚间，小狗电器互联网科技（北京）股份有限公司（以下简称“小狗电器”）发布《关于拟申请公司股票在全国中小企业股份转让系统终止挂牌》的提示性公告。,小狗电器拟申请终止在新三板挂牌,07:34,http://www.tmtpost.com/nictation/3459364.html
66,近两个交易日，京东累计下跌约16%，市值蒸发超72亿美元，刘强东身家缩水11.21亿美元，约合人民币76.5亿元。,京东周三收盘跌超10%，公司市值缩水至373亿美元,07:29,http://www.tmtpost.com/nictation/3459358.html
67,携程网第二季度归属于公司股东的净利润为人民币11亿元（约合1.68亿美元），相比之下去年同期归属于公司股东的净利润为人民币8.87亿元。,携程第二季度营收73亿元，同比增长13%,07:27,http://www.tmtpost.com/nictation/3459355.html
68,北京时间9月5日晚间消息，欧盟委员会本月晚些时候将提议立法，要求谷歌、Facebook、Twitter和其他一些互联网公司删除恐怖主义内容，并积极配合执法部门。,欧盟本月提议立法，要求谷歌1小时内删除恐怖主义内容,22:53,http://www.tmtpost.com/nictation/3458729.html
69,9月5日消息，近日，有用户遭遇在携程网上订完房间后，深夜导航被带到垃圾处理场，凌晨时分才更换到另一酒店的情况。,用户订房后被导航带到垃圾场，携程：路线有误，已下线该酒店,22:28,http://www.tmtpost.com/nictation/3458694.html
