,brief,header,pub_time,url
10,36氪讯，比亚迪今日公布2018年8月销量快报 。截至今年8月，共销售11.55万辆新能源汽车，8月新能源汽车销量超两万辆。,比亚迪1-8月新能源汽车销量达11.55万辆,2018-09-06 19:08,http://www.szse.cn/disclosure/listed/bulletinDetail/index.html?2a4d73a2-3928-4535-951f-ab0d956dd5e6
11,Roblox是一家允许孩子们创建3D世界和游戏的平台。该公司于近期又获得了1.5亿美元的F轮融资。该公司没有在公告中披露其估值，但是一位知情人士表示，在此次融资中，投资者对Roblox的估值超过了25亿美元，这一价格与微软四年前收购《我的世界》的报价一致。（猎云网）,儿童游戏平台Roblox获1.5亿美元F轮融资，估值超25亿美元,2018-09-06 18:57,http://www.lieyunwang.com/archives/447052
12,Factual于今天宣布完成新一轮4200万美元的投资。新一轮融资的投资者包括Upfront Ventures和Felicis Ventures等。Factua创始人称，这是一次集体融资，没有领投者。Factual的此次融资，在很大程度上是为了资助美国以外的增长，特别是在亚太地区。（猎云网）,位置数据平台Factual获4200万美元融资,2018-09-06 18:52,http://www.lieyunwang.com/archives/447056
13,申通快递与ebay的合作项目的测试已于近日全面完成，申通将为其提供从国内揽收、分拣、航空运输、清关等各环节的服务。按照合作协议，申通提供的服务主要是负责开通ebay项目城市的快件揽收服务，即揽收ebay在中国的客户快件，并进行集包操作，使用ebay项目号段包牌，最后交给当地转运中心。（亿欧）,申通牵手ebay，已完成业务测试,2018-09-06 18:45,https://www.iyiou.com/breaking/19179
14,9月6日，腾讯与浙江省农村信用社联合社在杭州举行战略合作签约仪式，共同签署了全面战略合作协议。双方将重点围绕乡村振兴、智慧生活、大数据金融安全、互联网移动支付服务等，探索居民金融生活生态领域的优化和创新，拓宽数字普惠金融领域的合作。（腾讯）,腾讯与浙江农信签署合作协议，探索构建开放生态银行,2018-09-06 18:37,http://tech.qq.com/a/20180906/090968.htm
15,美团点评在香港举行IPO新闻发布会，美团点评CFO陈少晖在回应合适扭亏为盈提问时表示，消费者和商家在美团平台上面忠诚度和黏性持续上升，因此其对业务盈利能力非常有信心。陈少晖提到，作为美团最主体业务的餐饮外卖，经过几年发展变现率持续改善之后，现在整个的业务其实是非常健康。（腾讯）,美团CFO回应扭亏预期：对公司盈利能力非常有信心,2018-09-06 18:34,http://tech.qq.com/a/20180906/089998.htm
16,36氪讯，截至目前，京东美股盘前报26.69美元，上涨1.48%。,京东美股盘前涨1.48%,2018-09-06 18:25,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135637&title=36%E6%B0%AA%E8%AE%AF%EF%BC%8C%E6%88%AA%E8%87%B3%E7%9B%AE%E5%89%8D%EF%BC%8C%E4%BA%AC%E4%B8%9C%E7%BE%8E%E8%82%A1%E7%9B%98%E5%89%8D%E6%8A%A526.69%E7%BE%8E%E5%85%83%EF%BC%8C%E4%B8%8A%E6%B6%A81.48%25%E3%80%82
17,自如CEO熊林在接受媒体采访时，就“甲醛房”等公众关注的热点话题，进行了回应和解读。他表示，为甲醛房道歉，会把检测报告放网上。（第一财经）,自如CEO熊林：为甲醛房道歉，会把检测报告放网上,2018-09-06 18:21,https://www.yicai.com/video/100022555.html
18,36氪讯，9月6日下午，国美控股集团与车势公司在北京签订合作协议，双方将在汽车新零售领域展开合作，利用国美零售门店、金融业务、汽车后服务等优势资源，并结合车势公司优秀的数字零售体系、车源及线下渠道运营能力，探索汽车新零售。,国美控股集团与车势公司实现合作 ，探索汽车新零售,2018-09-06 18:14,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135635&title=36%E6%B0%AA%E8%AE%AF%EF%BC%8C9%E6%9C%886%E6%97%A5%E4%B8%8B%E5%8D%88%EF%BC%8C%E5%9B%BD%E7%BE%8E%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E4%B8%8E%E8%BD%A6%E5%8A%BF%E5%85%AC%E5%8F%B8%E5%9C%A8%E5%8C%97%E4%BA%AC%E7%AD%BE%E8%AE%A2%E5%90%88%E4%BD%9C%E5%8D%8F%E8%AE%AE%EF%BC%8C%E5%8F%8C%E6%96%B9%E5%B0%86%E5%9C%A8%E6%B1%BD%E8%BD%A6%E6%96%B0%E9%9B%B6%E5%94%AE%E9%A2%86%E5%9F%9F%E5%B1%95%E5%BC%80%E5%90%88%E4%BD%9C%EF%BC%8C%E5%88%A9%E7%94%A8%E5%9B%BD%E7%BE%8E%E9%9B%B6%E5%94%AE%E9%97%A8%E5%BA%97%E3%80%81%E9%87%91%E8%9E%8D%E4%B8%9A%E5%8A%A1%E3%80%81%E6%B1%BD%E8%BD%A6%E5%90%8E%E6%9C%8D%E5%8A%A1%E7%AD%89%E4%BC%98%E5%8A%BF%E8%B5%84%E6%BA%90%EF%BC%8C%E5%B9%B6%E7%BB%93%E5%90%88%E8%BD%A6%E5%8A%BF%E5%85%AC%E5%8F%B8%E4%BC%98%E7%A7%80%E7%9A%84%E6%95%B0%E5%AD%97%E9%9B%B6%E5%94%AE%E4%BD%93%E7%B3%BB%E3%80%81%E8%BD%A6%E6%BA%90%E5%8F%8A%E7%BA%BF%E4%B8%8B%E6%B8%A0%E9%81%93%E8%BF%90%E8%90%A5%E8%83%BD%E5%8A%9B%EF%BC%8C%E6%8E%A2%E7%B4%A2%E6%B1%BD%E8%BD%A6%E6%96%B0%E9%9B%B6%E5%94%AE%E3%80%82
19,36氪讯，9月6日，数字阅读品牌掌阅在北京召开新品发布会，正式发布超级智能本iReader Smart。iReader Smart是掌阅全新研发生产的智能产品，助力广大求知人群高效阅读并记录下自己的思考和理解，它在保留了掌阅在数字阅读领域多年积累的优势的同时，通过把笔记输入和输出数字化，打造了一个智慧的内容交互平台。,掌阅发布超级智能本iReader Smart，面向学习型人群,2018-09-06 18:12,http://share.baidu.com/s?type=text&searchPic=1&sign=on&to=tsina&key=595885820&url=http://36kr.com/newsflashes/135634&title=36%E6%B0%AA%E8%AE%AF%EF%BC%8C9%E6%9C%886%E6%97%A5%EF%BC%8C%E6%95%B0%E5%AD%97%E9%98%85%E8%AF%BB%E5%93%81%E7%89%8C%E6%8E%8C%E9%98%85%E5%9C%A8%E5%8C%97%E4%BA%AC%E5%8F%AC%E5%BC%80%E6%96%B0%E5%93%81%E5%8F%91%E5%B8%83%E4%BC%9A%EF%BC%8C%E6%AD%A3%E5%BC%8F%E5%8F%91%E5%B8%83%E8%B6%85%E7%BA%A7%E6%99%BA%E8%83%BD%E6%9C%ACiReader%20Smart%E3%80%82iReader%20Smart%E6%98%AF%E6%8E%8C%E9%98%85%E5%85%A8%E6%96%B0%E7%A0%94%E5%8F%91%E7%94%9F%E4%BA%A7%E7%9A%84%E6%99%BA%E8%83%BD%E4%BA%A7%E5%93%81%EF%BC%8C%E5%8A%A9%E5%8A%9B%E5%B9%BF%E5%A4%A7%E6%B1%82%E7%9F%A5%E4%BA%BA%E7%BE%A4%E9%AB%98%E6%95%88%E9%98%85%E8%AF%BB%E5%B9%B6%E8%AE%B0%E5%BD%95%E4%B8%8B%E8%87%AA%E5%B7%B1%E7%9A%84%E6%80%9D%E8%80%83%E5%92%8C%E7%90%86%E8%A7%A3%EF%BC%8C%E5%AE%83%E5%9C%A8%E4%BF%9D%E7%95%99%E4%BA%86%E6%8E%8C%E9%98%85%E5%9C%A8%E6%95%B0%E5%AD%97%E9%98%85%E8%AF%BB%E9%A2%86%E5%9F%9F%E5%A4%9A%E5%B9%B4%E7%A7%AF%E7%B4%AF%E7%9A%84%E4%BC%98%E5%8A%BF%E7%9A%84%E5%90%8C%E6%97%B6%EF%BC%8C%E9%80%9A%E8%BF%87%E6%8A%8A%E7%AC%94%E8%AE%B0%E8%BE%93%E5%85%A5%E5%92%8C%E8%BE%93%E5%87%BA%E6%95%B0%E5%AD%97%E5%8C%96%EF%BC%8C%E6%89%93%E9%80%A0%E4%BA%86%E4%B8%80%E4%B8%AA%E6%99%BA%E6%85%A7%E7%9A%84%E5%86%85%E5%AE%B9%E4%BA%A4%E4%BA%92%E5%B9%B3%E5%8F%B0%E3%80%82
